text,retweet_count,favorite_count,is_retweet,date,score
RT realDonaldTrump AugustPfluger is a Great Veteran and Strong Leader for Texas where he is running for Congress He will protect your,13744,0,0,2020-03-03,277.300740285826
THANK YOU OHIO KAG2020 ,22165,99813,0,2019-08-02,76.05548329423148
Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally They cant If we had a Wall they wouldnt even try The two,29363,120614,0,2018-12-29,453.7122798706529
RT RedPillReport I dont know who the heckler isbut he is my hero  Nadler was rattled One of the best things to come from the ele,23865,0,0,2020-02-09,326.57357797100354
So interesting to see Progressive Democrat Congresswomen who originally came from countries whose governments are a complete and total catastrophe the worst most corrupt and inept anywhere in the world if they even have a functioning government at all now loudly,48759,210916,0,2019-07-14,403.2097178599037
The Intelligence people seem to be extremely passive and naive when it comes to the dangers of Iran They are wrong When I became President Iran was making trouble all over the Middle East and beyond Since ending the terrible Iran Nuclear Deal they are MUCH different but,20834,94490,0,2019-01-30,465.66002848911813
RT McAllisterDen If you have time today please pray for Rush Limbaugh and his familystrength peace comfort and healing according to G,14430,0,0,2020-05-28,291.00699400145203
Democrats at the top are killing the Great State of Virginia If the three failing pols were Republicans far stronger action would be taken Virginia will come back HOME Republican in 2020,22303,99934,0,2019-02-07,322.4243443365812
RT RNCResearch Sen Scott slams Democrats on impeachment the evidence does not matter to Democrats,5572,0,0,2019-09-28,200.86394141548757
RT kayleighmcenany Paid family leave is vitally important to the prosperity of our workforce amp wellbeing of our familiesIvankaTrump,5964,0,1,2019-12-04,262.60779492623186
What a great evening ,4566,22016,0,2019-12-12,60.934292352534364
I will protect your Social Security and Medicare just as I have for the past 3 years Sleepy Joe Biden will destroy both in very short order and he wont even know hes doing it,33445,153516,0,2020-03-06,341.26259228410214
Hard to believe that with the Crisis on the Border the Dems wont do the quick and easy fix Would solve the problem but they want Open Borders which equals crime,19394,81206,0,2019-05-31,315.8676555101507
Andrew thank you We will never forgive or forget ,10566,43326,0,2019-08-16,104.70120746560266
Wishing former President Jimmy Carter a speedy recovery from his hip surgery earlier today He was in such good spirits when we spoke last month  he will be fine,13509,87358,0,2019-05-14,287.04878036629054
BUT THE BEST IS YET TO COME,1347,4547,0,2020-01-18,97.63589304426324
Great time in New Hampshire last night Placed was maxed out totally packed with thousands coming to the arena floor at start Thousands more outside that were not allowed in per code Energy was really great to see We will win New Hampshire in 2020,14883,76125,0,2019-08-17,480.78777278111914
the Crown Prince He is waiting for the results of the investigations being done by the Saudis and Turkey and just gave a news conference to that effect,7626,37354,0,2018-10-18,281.8880499530838
Dana Rohrabacher has been a great Congressman for his District and for the people of Cal He works hard and is respected by all  he produces Dems are desperate to replace Dana by spending vast sums to elect a super liberal who is weak on Crime and bad for our Military amp Vets,15285,55489,0,2018-11-04,544.6692984563904
Great going to a very talented group ,7663,34592,0,2020-07-29,79.6133506291657
RT GOPChairwoman The contrast at the StateOfTheUnion will be clear realDonaldTrump has a booming economy countless successes like ,6402,0,0,2020-02-20,250.53041704643763
RT WhiteHouse As long as I am President of the United States Iran will never be allowed to have a nuclear weapon ,19472,0,0,2020-01-11,232.32535345978238
RT replouiegohmert What I have accumulated here is absolutely shocking upon the realization that Mueller's disreputable twisted history,19418,0,0,2019-04-23,267.1971559886547
RT realDonaldTrump The News Media in our Country is FAKE and in many cases totally CORRUPT ,21596,0,1,2019-12-12,195.9365366480884
Maduro willing to negotiate with opposition in Venezuela following US sanctions and the cutting off of oil revenues Guaido is being targeted by Venezuelan Supreme Court Massive protest expected today Americans should not travel to Venezuela until further notice,28667,89203,0,2019-01-30,391.6474371145854
RT WhiteHouse   ,11758,0,0,2020-07-09,41.019536314621156
MAKE AMERICA GREAT AGAIN,23510,104677,0,2019-03-13,55.05738754322521
Thank you Kevin Great things are happening at the Border ,6538,26947,0,2019-08-31,111.89064191572591
I hope our great Republican Senators dont get led down the path of weak and ineffective Border Security Without strong Borders we dont have a Country  and the voters are on board with us Be strong and smart dont fall into the Democrats trap of Open Borders and Crime,29496,119792,0,2019-02-25,435.7446360312421
Our Economy is very strong despite the horrendous lack of vision by Jay Powell and the Fed but the Democrats are trying to will the Economy to be bad for purposes of the 2020 Election  Very Selfish Our dollar is so strong that it is sadly hurting other parts of the world,20130,89505,0,2019-08-19,516.4188452433156
Wow A federal Judge in the Southern District of NY completely dismissed a lawsuit brought by the Democratic National Committee against our historic 2016 campaign for President The Judge said the DNC case was entirely divorced from the facts yet another total amp complete,33521,138969,0,2019-07-31,393.645591631543
RT realDonaldTrump So true but it will never work ,15829,0,0,2019-09-26,132.46544720887084
Just spoke to President RTErdogan of Turkey He told me there was minor sniper and mortar fire that was quickly eliminated He very much wants the ceasefire or pause to work Likewise the Kurds want it and the ultimate solution to happen Too bad there wasnt,16519,68128,0,2019-10-18,456.4607705955916
Dow closes at another AllTime High cvpayne FoxBusiness,14969,67828,0,2019-12-28,124.1402802723291
I greatly appreciate Nancy Pelosis statement against impeachment but everyone must remember the minor fact that I never did anything wrong the Economy and Unemployment are the best ever Military and Vets are great  and many other successes How do you impeach,29559,153480,0,2019-03-13,447.4076088028142
just the large States  the Cities would end up running the Country Smaller States amp the entire Midwest would end up losing all power  amp we cant let that happen I used to like the idea of the Popular Vote but now realize the Electoral College is far better for the USA,28902,122748,0,2019-03-20,484.4979755134743
RT KimStrassel For an indepth explanation of the abuses now detailed in the IG report and so many other abuses pick up my new bestsel,6086,0,1,2019-12-15,279.33956728048656
RT senatemajldr There will be no haggling with the House over Senate procedure We will not cede our authority to try this impeachment T,30997,0,0,2020-01-09,296.33531896809217
RT GOP TODAY is the LAST day to register to vote in Massachusetts and WisconsinRegister today  ,4543,0,1,2018-10-18,201.3532843214072
No matter what you do for the Do Nothing Democrats no matter how GREAT a job you are doing they will only respond to their Fake partners in the Lamestream Media in the negative even in a time of crisis I thought it would be different but its not In fact its even worse,37540,167719,0,2020-04-18,538.2958831046644
Should have let police do their job and brought in National Guard on Day One not Day Four ,34318,115013,0,2020-06-09,184.61261059710657
RT PismoB Good Morning America ,11776,0,0,2020-08-16,81.9514675389432
RT JimJordan Between July 18th when aid was paused and Sept 11th when it was released there were 5 interactions between President Zelen,7405,0,1,2019-12-04,241.39292353928678
Im proud of the President today to hear that he is declaring victory in Syria Senator Rand Paul  I couldnt agree more with the presidents decision By definition this is the opposite of an Obama decision Senator Mike Lee,13158,60475,0,2018-12-20,378.7019869099961
RT thejtlewis Now that the economy is doing well again Obama will be taking credit for it,11791,0,0,2020-06-07,215.1793502275671
RT SenMikeLee It was an honor to share the stage with realDonaldTrump Friday when he became the first president to speak at the MarchFo,6514,0,0,2020-01-28,294.6799671923968
RT SenJohnBarrasso SenSchumer SenSchumer and Congressional Democrats need to stop holding workers and small businesses hostage and sto,3882,0,0,2020-04-18,287.69100224663646
NeverForget  September11th ,16328,60786,0,2018-09-11,65.8589960697638
'Forgotten Man' Story Under Trump Red Counties Economically Thrive via BreitbartNews,11029,39677,0,2019-05-08,166.2233106374476
RT MZHemingway Oh dear Hunter Bidenlinked company received 130M in special federal loans while Joe Biden was vice president ,17453,0,1,2019-11-24,239.89124278531432
Together we are putting into policy a plan to prevent detect treat and create a vaccine against CoronaVirus to save lives in America and the world America will get it done,12441,57851,0,2020-03-12,314.8931404425559
Less than 48 hours before start of the Impeachment Hearing Hoax on Monday the No Due Process Do Nothing Democrats are believe it or not changing the Impeachment Guidelines because the facts are not on their side When you cant win the game change the rules,32105,118180,0,2019-12-08,466.63595697114147
The best thing that ever happened to Puerto Rico is President Donald J Trump So many wonderful people but with such bad Island leadership and with so much money wasted Cannot continue to hurt our Farmers and States with these massive payments and so little appreciation,18517,85911,0,2019-04-02,453.6307906280655
RepCummings  your district ,26465,79007,0,2019-07-27,65.99856462231003
RT marcorubio The Speaker embarrassed herself by ripping up her paper copy of the speech in dramatic fashion So pathetic SOTU2020,11183,0,0,2020-02-07,243.85691581240437
Newest Poll Only 11 in favor of starting ridiculous impeachment hearings Well lets see We have the Best Economy in History the Best Employment Numbers in History Most People Working in History Highest Stock Market in History Biggest Tax and Regulation Cuts in History,24434,125296,0,2019-07-23,409.701347954281
Wow Was just told that my sons book Triggered is Number One on The New York Times Bestseller List Congratulations Don,26908,163741,0,2019-11-14,208.68214274121087
RT IvankaTrump surrounded by enemies and spies catching and perverting every word that falls from my lips or flows from my pen and inv,52449,0,0,2019-11-01,279.61897967278026
The Governor of California GavinNewsom has done a terrible job of forest management I told him from the first day we met that he must clean his forest floors regardless of what his bosses the environmentalists DEMAND of him Must also do burns and cut fire stoppers,22685,83597,0,2019-11-03,467.74752510652627
RT CQnow House Judiciary members RepDougCollins and RepMattGaetz huddle before the start of the panel's hearing on the impeachment inqu,3069,0,1,2019-12-07,320.7321990496712
RT AndrewHClark Slow slow Sleepy Joe ,4152,0,0,2020-04-10,85.3499401865823
People are not being told that the Republican Party is on track to pick up two seats in the US Senate and epic victory 53 to 47 The Fake News Media only wants to speak of the House where the Midterm results were better than other sitting Presidents,26477,103743,0,2018-11-17,453.2866129862999
Comey and McCabe and more are Dirty Cops Joe DiGenova,10119,42677,0,2019-09-01,137.70921106024412
RT DailyCaller Trumps Wants Schools To Reopen And Teachers Unions Are Pushing Back What Do Parents Want ,4805,0,0,2020-07-11,219.27187249267607
Alabama Iowa Nebraska Georgia South Carolina North Carolina and others unless much more money is given to Puerto Rico The Dems dont want farmers to get any help Puerto Rico should be very happy and the Dems should stop blocking much needed Disaster Relief,24932,99217,0,2019-05-06,455.9723292127775
Highly conflicted Robert Mueller should not be given another bite at the apple In the end it will be bad for him and the phony Democrats in Congress who have done nothing but waste time on this ridiculous Witch Hunt Result of the Mueller Report NO COLLUSION NO OBSTRUCTION,21725,102300,0,2019-07-22,490.2790433386328
The United States has been experiencing believe it or not  Historically Low Crime Rates The last thing we will be doing is Defunding or Eliminating our many and various Police Departments or putting an end to our great Second Amendment,24591,105388,0,2020-07-03,387.2352931269676
Republican AGs come out in force against defunding police ,20577,77048,0,2020-06-10,128.72301780741586
RT SenJohnKennedy Promise kept Today realDonaldTrump officially signed the historic USMCA deal into law This trade deal is a mas,3831,0,0,2020-02-01,259.8708669551226
RT ScottGottliebMD We updated our data on total coronavirus testing capacity in US Remember our figures for total capacity do not ref,3319,0,0,2020-03-12,258.22177808445247
RT JudicialWatch BREAKING TomFitton made the following statement regarding the Senates vote to acquit realDonaldTrump Congratulatio,5055,0,0,2020-02-11,269.4182987965106
Another Fake News story out there  It never ends Virtually anytime I speak on the phone to a foreign leader I understand that there may be many people listening from various US agencies not to mention those from the other country itself No problem,21362,96763,0,2019-09-19,438.03859992862135
It does appear it has to do with Nancy Pelosi retaining her Speakership in the next Congress She would like that so shes going to put it to a vote because thats what her political left really wants SteveDoocy foxandfriends  A disgraceful use of Impeachment Will backfire,16428,65690,0,2019-10-30,552.4149337189162
RT JasonMillerinDC Must be nice to have the MSM for a rapid response teamNo mention of Biden failing to call on Wheeler to allow feder,10070,0,0,2020-08-30,290.45600726948476
RT Lrihendry Meghan MCCain took a swipe at Trump suggesting no one will ever love you like they loved my father WRONG Meghan Million,17587,0,0,2019-03-17,264.18571863049783
The Wall is going up very fast despite total Obstruction by Democrats in Congress and elsewhere ,22357,100290,0,2019-09-12,165.64138646452517
RT DHSgov North CarolinaiTunes Play ,2739,0,1,2018-09-14,88.09964439026881
Like every American I deserve to meet my accuser especially when this accuser the socalled Whistleblower represented a perfect conversation with a foreign leader in a totally inaccurate and fraudulent way Then Schiff made up what I actually said by lying to Congress,32154,130386,0,2019-09-29,472.38866423092827
