"text","retweet_count","favorite_count","is_retweet","date"
"Cryin Chuck told his favorite lie when he used his standard sound bite that I slammed the table amp walked out of the room He had a temper tantrum Because I knew he would say that and after Nancy said no to proper Border Security I politely said byebye and left no slamming",32935,155735,"0",2019-01-10
"Based on decisions being rendered now this list is more important than ever before Second Amendment Right to Life Religous Liberty etc  VOTE 2020",18137,75370,"0",2020-06-19
"Ted Cruz has done so much for Texas including massive cuts in taxes and regulations  which has brought Texas to the best jobs numbers in the history of the state He watches carefully over your 2nd Amendment ORourke would blow it all Ted has long had my Strong Endorsement",20115,80076,"0",2018-10-17
"RT JaySekulow THREAD Statement from Jay Sekulow Counsel to the PresidentThis mornings testimony exposed the troubling deficiencies",15976,0,"0",2019-07-25
"PRESIDENTIAL HARASSMENT",21486,95316,"0",2019-06-11
"Just signed one of the most important and largest Trade Deals in US and World History The United States Mexico and Canada worked so well together in crafting this great document The terrible NAFTA will soon be gone The USMCA will be fantastic for all",27974,125660,"0",2018-11-30
"I am in the Oval Office amp just gave out a 115 mile long contract for another large section of the Wall in Texas We are already building and renovating many miles of Wall some complete Democrats must end Shutdown and finish funding Billions of Dollars amp lives will be saved",41153,182040,"0",2018-12-25
"Watch MariaBartiromo at 600 PM on FoxBusiness Russian Hoax the big topic Mainstream Media often referred to as the Fake News Media hates to discuss the real facts",10224,44001,"0",2018-09-16
"Fake News is so bad for our Country ",24256,92630,"0",2019-02-22
"Chuck we will get lower drug prices done Thanks ",16030,64364,"0",2020-06-30
"RT JackPosobiec Amazing Trump address and only OANN covered the full day on cable",10443,0,"0",2019-07-05
"RT TeamTrump It took TWO MONTHS for Joe Biden to finally admit that President realDonaldTrump's decision to restrict travel from China w",8625,0,"0",2020-04-04
"So funny to watch people who have failed for years they got NOTHING telling me how to negotiate with North Korea But thanks anyway",35740,162202,"0",2019-02-24
"Roger Stone was targeted by an illegal Witch Hunt that never should have taken place It is the other side that are criminals including Biden and Obama who spied on my campaign  AND GOT CAUGHT",38297,155330,"0",2020-07-11
"He wants to raise taxes all over our Country ",21202,80215,"0",2020-04-04
"RT davidharsanyi If FBI agents will fabricate evidence against the opposition party and use that evidence to attain warrants from an obl",10583,0,"0",2020-05-16
"RT paulsperry DEVELOPING Did top brass at Obama DOJ in August 2016 task a key department conduit for Christopher Steele to make sure th",6301,0,"0",2020-05-12
"RT TeamTrump President realDonaldTrump Theres no enthusiasm for Joe Biden ",7155,0,"0",2020-08-25
"RT SenKevinCramer Like the rest of the Democratic party platform this courtpacking scheme is nothing more than a sloppy regurgitation o",4511,0,"0",2019-08-31
"RT TomFitton Democratic leaders don't want to talk about the criminal conspiracy their party was involved in related to the illegal spyin",10329,0,"0",2019-05-11
"RT WhiteHouse Under my Administration we will never surrender American sovereignty to anyone We will never allow foreign bureaucrats t",16596,0,"0",2019-04-27
"After some very important meetings including my meeting with President Xi of China I will be leaving Japan for South Korea with President Moon While there if Chairman Kim of North Korea sees this I would meet him at the Border/DMZ just to shake his hand and say Hello",39093,169271,"0",2019-06-29
"RT realDonaldTrump No matter what she says Senator Claire McCaskill will always vote against us and the Great State of Missouri Vote fo",20920,0,"1",2018-11-06
"RT WhiteHouse Congress broke for Thanksgiving late last week Thanks to the far lefts impeachment stunt the House has been effectively",13065,0,"1",2019-11-28
"RT AZachParkinson A record setting jobs report45 million jobs  largest gain in history28 million women's jobs  largest gain i",6726,0,"0",2020-07-04
"RT MarkBednar GOPLeader Look at what San Francisco is known for today Skyhigh taxes Sanctuary city Sidewalks people do not ev",8229,0,"0",2020-08-15
"RT NRSC Angry Dems have been working to impeach realDonaldTrump since November 8 2016 SpeakerPelosi and House Dems caved to their far",3350,0,"0",2020-01-22
"RT AndrewPollackFL The California Supreme Court is the only piece of government in the state that has any common sense leftPresident T",12140,0,"1",2019-11-24
"Nobody briefed or told me VP Pence or Chief of Staff MarkMeadows about the socalled attacks on our troops in Afghanistan by Russians as reported through an anonymous source by the Fake News nytimes Everybody is denying it amp there have not been many attacks on us",24430,91273,"0",2020-06-28
"RT CarlHigbie realDonaldTrump And all they got is a fraud impeachment 2020 is gonna rock",4477,0,"0",2020-02-02
"RT LindseyGrahamSC Very pleased to have confirmed another conservative judge to the Ninth Circuit Daniel Collins will be an outstanding",12236,0,"0",2019-05-22
"President RTErdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syriaand he is a man who can do it plus Turkey is right next door Our troops are coming home",21687,97080,"0",2018-12-23
"One of the greatest trade deals ever made Also good for China and our long term relationship 250 Billion Dollars will be coming back to our Country and we are now in a great position for a Phase Two start There has never been anything like this in US history USMCA NEXT",34525,166977,"0",2020-01-16
"What the Democrats are doing is Obstruction of the Senate Its wrong Constitutionally its wrong morally and its wrong politically AlanDersh  seanhannity  dbongino l agree and so does the public",24467,95623,"0",2019-12-24
"Dan will be GREAT ",8886,35213,"0",2019-08-31
"Schiff must release the IG report without changes or tampering which is said to be yet further exoneration of the Impeachment Hoax He refuses to give it Does it link him to Whistleblower Why is he so adamant",35229,133689,"0",2020-01-27
"Drug prices declined in 2018 the first time in nearly half a century During the first 19 months of my Administration Americans saved 26 Billion on prescription drugs Our policies to get cheaper generic drugs to market are working",25338,115390,"0",2019-01-12
"RT FLGuard HurricaneMichael is here but so are we Stay safe Florida FloridaFirst FLNGAlwaysThere ",5454,0,"1",2018-10-10
"RT RepMattGaetz MUSTREAD Gaetz 'Donald Trump Is Innocent and the Deep State Is Guilty'",11494,0,"0",2019-10-30
"Nick Sandmann and the students of Covington have become symbols of Fake News and how evil it can be They have captivated the attention of the world and I know they will use it for the good  maybe even to bring people together It started off unpleasant but can end in a dream",38014,162047,"0",2019-01-22
"Concast is known for its terrible service On top of that they provide FAKE NEWS on MSDNC amp NBCNews Drop them and go to a good provider ",10214,38406,"0",2020-06-13
"Thank you to all of my great Keyboard Warriors You are better and far more brilliant than anyone on Madison Avenue Ad Agencies There is nobody like you",65438,284998,"0",2020-05-15
"RT livesmattershow These are the zombies that are calling for a revolution to move into power in the USAImagine these people becoming y",4232,0,"0",2020-08-30
"Extraordinary times require even closer cooperation between friends Thank you India and the Indian people for the decision on HCQ Will not be forgotten Thank you Prime Minister NarendraModi for your strong leadership in helping not just India but humanity in this fight",110302,449820,"0",2020-04-09
"Working hard thank you ",29437,142221,"0",2018-12-06
"The Fed raised way too early and way too much Their quantitative tightening was another big mistake While our Country is doing very well the potential wealth creation that was missed especially when measured against our debt is staggering We are competing with other",15711,74145,"0",2019-07-29
"The entire Impeachment Scam was based on my perfect Ukrainian call and the Whistleblowers account of that call which turned out to be false a fraud Once I released the actual call their entire case fell apart The Democrats must end this Scam now Witch Hunt",15893,67066,"0",2019-10-26
"RT TeamTrump President realDonaldTrump will host a Keep America Great rally on Tuesday December 10 at 700 pm EST at the Giant Cente",7291,0,"1",2019-11-30
"RT heretosaveday07 This is a perfect example of what Im talking about  how people are waking up and seeing exactly what BLM is really a",5354,0,"1",2020-07-04
"Merry Christmas",89254,508327,"0",2018-12-25
"RT PrimalDigest AndrewCMcCarthy rickjdakota Rosenstein Scope Memo Confirms Baselessness of TrumpRussia Probe",4701,0,"0",2020-05-10
"RT WhiteHouse Happy St Patrick's Day  ",7148,0,"0",2019-03-17
"The real trade war began 30 years ago and we lost This is a bright new Age the Age of Enlightenment We dont lose anymore ",18988,69665,"0",2019-05-25
"House Republicans should support the TWO YEAR BUDGET AGREEMENT which greatly helps our Military and our Vets I am totally with you",13374,70632,"0",2019-07-25
"So sad to see what is happening in New York where Governor Cuomo amp  Mayor DeBlasio are letting out 900 Criminals some hardened amp bad onto the sidewalks of our rapidly declining because of them city The Radical Left Dems are killing our cities NYPD Commissioner is resigning",26771,94132,"0",2019-11-05
"RT heatherjones333 Congratulations Sleepy Joe You just won Stupid Person of 2019 Award Joe Biden Were All Dead if We Dont Stop",8062,0,"0",2020-01-01
"Congressman MikeTurnerOH is a strong supporter and fighter for the People of Ohio He will help us MAGA Hes Strong on the Border Tough on Crime will Protect our Vets and our GREAT Second Amendment Mike has my Complete and Total Endorsement ",7330,27204,"0",2020-04-24
"RT Boneszoom dbongino He has NO chance",1708,0,"0",2019-05-01
"The Trump Administration has succeeded in dramatically raising the costs to Iran for its sinister behavior at no cost to the US or our allies Thats the definition of a foreignpolicy achievement Bret Stephens nytimes  We are getting stronger all over the world watch",26911,115709,"0",2019-03-30
"Just signed Disaster Aid Bill to help Americans who have been hit by recent catastrophic storms So important for our GREAT American farmers and ranchers Help for GA FL IA NE NC and CA Puerto Rico should love President Trump Without me they would have been shut out ",16690,71959,"0",2019-06-07
"So nice everyone wants Ivanka Trump to be the new United Nations Ambassador She would be incredible but I can already hear the chants of Nepotism We have great people that want the job",14131,76446,"0",2018-10-12
"RT RepMikeJohnson Democrats are pursuing their hatred for realDonaldTrump atop the ruins of our public liberty That is the greatest dan",11775,0,"1",2019-12-05
"RT TomFitton HUGE Schiff Coup Fail  RealDonaldTrump should pursue justice JudicialWatch sues on Biden/Burisma AND the socalled Whi",5708,0,"0",2020-02-07
"RT WhiteHouse President realDonaldTrump is using the Defense Production Act to ensure that Americans have a reliable supply of beef por",7825,0,"0",2020-05-01
"That shouldnt be hard Corrupt Joe has done nothing good for Black people ",10723,44686,"0",2020-07-11
"RT SenMikeLee After 33 days of delay managers argued this was urgent After hearing from 17 witnesses managers said they need more After",5778,0,"0",2020-01-24
"We send our deepest condolences to Lou and the entire Barletta family  he has been working so hard despite this terrible situation for the people of Pennsylvania Our thoughts and prayers are with you Lou",3313,13837,"0",2018-10-23
"Mini Mike Bloomberg just quit the race for President I could have told him long ago that he didnt have what it takes and he would have saved himself a billion dollars the real cost Now he will pour money into Sleepy Joes campaign hoping to save face It wont work",28255,147368,"0",2020-03-04
"The only way to shut down the Democrats new Mob Rule strategy is to stop them cold at the Ballot Box The fight for Americas future is never over Ben Shapiro",26942,100364,"0",2018-10-15
"LloydSmuckerPA is doing a great job for the people of Pennsylvania He is strong on the Border Crime the Military our Vets and the 2nd Amendment Lloyd has my Total Endorsement",10229,39838,"0",2018-10-26
"RT SenatorWicker With hard work and strong action our economy will recover from the coronavirus pandemic President realDonaldTrump",1982,0,"0",2020-06-05
"RT NHCAtlantic 6 AM EDT Tropical Cyclone Update on Hurricane Dorian Eye of Dorian Wobbling over Grand Bahama Island ",2802,0,"0",2019-09-02
"RT LindseyGrahamSC After the House vote Democrats are having BUYER's REMORSE about impeachment and don't know what to do  They know t",10873,0,"1",2019-12-24
"RT mikepence When our President stands up to radical Democrats who accuse Border Patrol of running concentration camps use antiSemitic",12912,0,"0",2019-07-20
"RT GrassleyPress BREAKING  The Families First Coronavirus Response Act is heading to President realDonaldTrumps desk ",2135,0,"0",2020-03-20
"RT GReschenthaler FEMA is sending 83400 testing swabs and 55660 media tubes to the Commonwealth of PA Thank you realdonaldtrump and",6464,0,"0",2020-05-15
"RT RealOmarNavarro I love realDonaldTrump Hes the only President in my lifetime who stands for our country",13880,0,"0",2019-08-18
"Our July 4th Salute to America at the Lincoln Memorial is looking to be really big It will be the show of a lifetime",26424,135941,"0",2019-07-03
"RT DailyCaller Dana Bash Puts Nadler On The Spot With His Own Statements On Partisan Impeachment ",5744,0,"1",2019-12-08
"THANK YOU IOWA amp NEBRASKA VOTE VOTE VOTE ",13172,54312,"0",2018-10-10
"I campaigned on Border Security which you cannot have without a strong and powerful Wall Our Southern Border has long been an Open Wound where drugs criminals including human traffickers and illegals would pour into our Country Dems should get back here an fix now",21960,90883,"0",2018-12-31
"Would Chris Cuomo be given a Red Flag for his recent rant Filthy language and a total loss of control He shouldnt be allowed to have any weapon Hes nuts",34270,137120,"0",2019-08-13
"If my hands were tied Iran would have a field day Sends a very bad signal The Democrats are only doing this as an attempt to embarrass the Republican Party Dont let it happen",19420,77239,"0",2020-02-13
"Congressman MarkwayneMullin is a big time MAGA supporter Markwayne has fought hard for Oklahoma Veterans and Military he loves our Farmers and hes Strong on Border Security I give Markwayne my Complete and Total Endorsement",8495,31756,"0",2019-12-18
"John Solomon Factual errors and major omissions in the Mueller Report show that it is totally biased against Trump",21187,82081,"0",2019-06-07
"In Germany Denmark Norway  Sweden and many other countries SCHOOLS ARE OPEN WITH NO PROBLEMS The Dems think it would be bad for them politically if US schools open before the November Election but is important for the children amp families May cut off funding if not open",54613,239351,"0",2020-07-08
"RT TimBurt Psalm 331820 But the LORD watches over those who fear him those who rely on his unfailing love  He rescues them from dea",7440,0,"0",2020-04-05
"ECB officials see Rate Cut as primary tool for any new stimulus  business",7233,33578,"0",2019-06-18
"RT EdwardLawrence The letter adds potentially allowing China to track the locations of Federal employees and contractors build dossier",5878,0,"0",2020-08-07
"RT ABC NEW Pres Trump says he will hold a rally at an undetermined location rather than attend the White House Correspondents' Dinner",14631,0,"0",2019-04-06
"No debate on Election Security should go forward without first agreeing that Voter ID Identification must play a very strong part in any final agreement Without Voter ID it is all so meaningless",38730,141621,"0",2019-08-14
"They say all these people died in the storm in Puerto Rico yet 70 of the power was out before the storm So when did people start dying At what point do you recognize that what they are doing is a political agenda couched in the nice language of journalism  GeraldoRivera",20783,80616,"0",2018-09-15
"All Republicans support people with preexisting conditions and if they dont they will after I speak to them I am in total support Also Democrats will destroy your Medicare and I will keep it healthy and well",28187,100413,"0",2018-10-19
"I will be watching HAVE A GREAT EASTER ",11563,48160,"0",2020-04-11
"When will this illegal Joseph McCarthy style Witch Hunt one that has shattered so many innocent lives ever endor will it just go on forever After wasting more than 40000000 is that possible it has proven only one thingthere was NO Collusion with Russia So Ridiculous",23745,88691,"0",2018-11-29
"RT TeamTrump WATCH President Donald Trump in Old Forge PA Pennsylvania TeamTrump Text TRUMP to 88022 ",8115,0,"0",2020-08-21
"RT BuckSexton Russia invaded eastern Ukraine  picked off Crimea and shot an airliner out of the sky killing hundreds of civilians WHIL",27142,0,"1",2019-11-24
"RT KTHopkins The nippleheight Mayor of Londonistan has NEVER been so unpopular He has MINUS approval ratings because we are stabcity",11640,0,"0",2019-08-03
"The Dems are crazed they will do anything Honesty amp truth dont matter to them They are badly wounded Iowa vote count was a disaster for them ",15149,57630,"0",2020-02-09
"It would be really great if the people within the Trump Administration all wellmeaning and good I hope could stop hiring Never Trumpers who are worse than the Do Nothing Democrats Nothing good will ever come from them",25221,98160,"0",2019-10-24
"So sorry to hear the news about Jeff Bozo being taken down by a competitor whose reporting I understand is far more accurate than the reporting in his lobbyist newspaper the Amazon Washington Post Hopefully the paper will soon be placed in better amp more responsible hands",22538,105739,"0",2019-01-13
"There is nothing we can ever give to the Democrats that will make them happy This is the highest level of Presidential Harassment in the history of our Country",34096,152535,"0",2019-04-04
"RT WhiteHouse To support the hundreds of millions of Americans making tremendous sacrifices on the home front President realDonaldTrump",6646,0,"0",2020-03-29
"SampP opens at Record High",13805,77108,"0",2019-06-20
"Lyin James Comey Andrew McCabe Peter S and his lover agent Lisa Page amp more all disgraced and/or fired and caught in the act These are just some of the losers that tried to do a number on your President Part of the Witch Hunt Remember the insurance policy This is it",27269,110175,"0",2019-01-12
"RT DonaldJTrumpJr Ahhhh good times Happy third anniversary to one of the great comebacks of all time ",35686,0,"0",2019-10-19
"North Korea recommits to denuclearization  weve come a long way FoxNews",21671,100372,"0",2018-09-19
"RT GOPChairwoman May saw the BIGGEST JOBS INCREASE EVER This jobs report serves as an emphatic reminder about the strength of realDon",11809,0,"0",2020-06-06
"RT my3monkees PLEASE listen to this man and RT share with your BLM woke suburban white girl friends",24508,0,"0",2020-08-16
"RT TeamTrump President realDonaldTrump Drug prices are falling for the first time in 51 years thanks to this administration ",9615,0,"0",2020-08-04
"Despite so many positive events and victories Media Reseach Center reports that 92 of stories on Donald Trump are negative on ABC CBS and ABC It is FAKE NEWS Dont worry the Failing New York Times didnt even put the Brett Kavanaugh victory on the Front Page yesterdayA17",25499,93308,"0",2018-10-10
"RT BuckSexton General Flynn Kavanaugh Nicholas Sandmann liberal journos are willing to set these people up with lies and then pounce o",13169,0,"0",2020-04-30
"Somali refugees arresed in Tucson on way to Egypt They were in touch with an agent posing as a terrorist One of them stated The best wake up call is Islamic State to get victory or another 9/11 Get smart people MAGA KAG foxandfriends",21914,67618,"0",2019-07-30
"We are simultaneously fighting the Fake News Media and their partner the Democrat Party Always tough to beat the Press but people are beginning to see how totally CORRUPT they are and it makes our job a whole lot easier",23080,85934,"0",2019-10-04
"DACA recipients with arrest records 53792 That is a very large proportion of the total LouDobbs  Not good but we will be able to make a deal with the Dems",17357,64540,"0",2019-11-13
"As your President one would think that I would be thrilled with our very strong dollar I am not The Feds high interest rate level in comparison to other countries is keeping the dollar high making it more difficult for our great manufacturers like Caterpillar Boeing",20673,95830,"0",2019-08-08
"Looks like a third rate Grandstander named RepThomasMassie a Congressman from unfortunately a truly GREAT State Kentucky wants to vote against the new Save Our Workers Bill in Congress He just wants the publicity He cant stop it only delay which is both dangerous",19320,78131,"0",2020-03-27
"There has never been a president who has been tougher but fair on China or Russia  Never just look at the facts The Fake News tries so hard to paint the opposite picture",17272,78064,"0",2018-12-21
"And many more ",14966,54811,"0",2020-05-09
"RT RedPillReport I dont know who the heckler isbut he is my hero  Nadler was rattled One of the best things to come from the ele",23865,0,"0",2020-02-09
"THE BEST IS YET TO COME ",41709,136563,"0",2020-01-21
"RT realDonaldTrump Harry Reid when he was sane agreed with us on Birthright Citizenship ",25473,0,"1",2018-11-01
"Soon heading to West Point Graduation to give the Commencement Address Will be shown live on FoxNews plus Enjoy",17372,109781,"0",2020-06-13
"RT proudtexanbrew dbongino Im a retired volunteer firefighter and Id be PISSED if my dues were going to this",2422,0,"0",2019-05-01
"Incredible to be with our GREAT HEROES today in California We will always be with you ",22883,105635,"0",2018-11-17
"Thank you Daily Wire Very cute recreation but the live version of Conan will be leaving the Middle East for the White House sometime next week ",20442,98711,"0",2019-10-31
"RT MikePence Weve created more jobs in the last 3 months than Joe Biden and Barack Obama created in their 8 years in office ",20335,0,"0",2020-08-14
"Looking forward to being with Dan Bishop in two weeks in North Carolina His opponent believes in Open Borders and Sanctuary Cities and wont protect your Second Amendment ",11374,42101,"0",2019-08-28
"Beto phony name to indicate Hispanic heritage ORourke who is embarrassed by my last visit to the Great State of Texas where I trounced him and is now even more embarrassed by polling at 1 in the Democrat Primary should respect the victims amp law enforcement  amp be quiet",32598,141049,"0",2019-08-07
"of the DOJ amp FBI are completely out to lunch in terms of exposing and holding those accountable who are responsible for that corruption TomFitton JudicialWatch",15523,59435,"0",2018-09-01
"RT DonaldJTrumpJr Maybe the left will one day stop trying desperately to destroy my family and especially realDonaldTrump Till then the",24163,0,"0",2019-01-20
" ",15313,66733,"0",2019-09-21
"RT mowers Thank you President realDonaldTrump  Im proud to have served in President Trumps administration and to have his endors",4273,0,"0",2020-08-29
"RT SenJohnThune While Dems continue to peddle their socialist fantasies GOP economic policies have made life better for AmericansAnd",8990,0,"0",2020-02-15
"RT SenJoniErnst As a combat veteran amp member of SASCMajority Im proud to have helped pass the FY21NDAA that includes a number of my p",2035,0,"0",2020-07-27
"RT HH41848213 When you look at the continuous incorrect statements by Napolitano over the past 2 years it is fair to ask FNC why they al",10382,0,"0",2019-05-05
"The StLouisBlues amazing comeback reminds us to never give up  and never lose faith When you work hard support each other believe in yourself and give it everything youve got victory is always within reach STLBlues ",15009,65141,"0",2019-10-16
"But the questions should be asked why were all of Clintons people given immunity and why were the text messages of Peter S and his lover Lisa Page deleted and destroyed right after they left Mueller and after we requested themthis is Illegal",21711,95541,"0",2019-07-22
"RT MikePence The month of July has brought blowout numbers for New Residential Construction Housing Starts surged 226 which is 234",8624,0,"0",2020-08-19
"RT ABC Jared Kushner speaks at US Mideast peace plan conference in Bahrain For a moment imagine a new reality in the Middle East h",5443,0,"0",2019-06-26
"RT Varneyco STU We are living in the best performing economy in the world It's realDonaldTrump's big reelection issue The democrat",8517,0,"1",2019-12-26
"Remember the Cure cant be worse than the problem itself Be careful be safe use common sense",60152,334550,"0",2020-04-25
