Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,292.109985,292.929993,290.980011,291.730011,280.619171,62078900
2018-10-02,291.559998,292.359985,291.140015,291.559998,280.455566,47258200
2018-10-03,292.739990,293.209991,291.320007,291.720001,280.609528,64694600
2018-10-04,291.179993,291.239990,287.660004,289.440002,278.416321,111545900
2018-10-05,289.690002,290.269989,286.220001,287.820007,276.858032,105951700
2018-10-08,287.049988,288.220001,285.500000,287.820007,276.858032,87742200
2018-10-09,287.390015,288.859985,286.769989,287.399994,276.454010,74339000
2018-10-10,286.829987,286.910004,277.880005,278.299988,267.700623,214731000
2018-10-11,277.079987,278.899994,270.359985,272.170013,261.804077,274840500
2018-10-12,276.769989,277.089996,272.369995,275.950012,265.440125,183186500
2018-10-15,275.549988,277.040009,274.299988,274.399994,263.949188,102263700
2018-10-16,276.600006,280.820007,276.070007,280.399994,269.720581,118255800
2018-10-17,280.440002,281.149994,277.559998,280.450012,269.768738,110626000
2018-10-18,279.399994,280.070007,274.970001,276.399994,265.872986,134557500
2018-10-19,277.130005,279.299988,275.470001,276.250000,265.728729,139901600
2018-10-22,277.000000,277.359985,274.410004,275.010010,264.535919,82415800
2018-10-23,270.950012,274.869995,268.609985,273.609985,263.189270,146352700
2018-10-24,273.329987,273.760010,264.700012,265.320007,255.214981,177806700
2018-10-25,267.380005,271.809998,266.230011,270.079987,259.793671,138061500
2018-10-26,265.920013,271.000000,262.290009,265.329987,255.224579,201574600
2018-10-29,268.799988,270.250000,259.850006,263.859985,253.810593,160749100
2018-10-30,263.670013,268.119995,263.119995,267.769989,257.571625,157116000
2018-10-31,270.649994,273.230011,270.119995,270.630005,260.322754,128296300
2018-11-01,271.600006,273.730011,270.380005,273.510010,263.093079,99495000
2018-11-02,274.750000,275.230011,269.589996,271.890015,261.534790,122634100
2018-11-05,272.440002,274.010010,271.350006,273.390015,262.977631,65622500
2018-11-06,273.320007,275.299988,273.250000,275.119995,264.641724,60085900
2018-11-07,277.559998,281.100006,277.079987,281.010010,270.307434,102752100
2018-11-08,280.109985,281.220001,279.220001,280.500000,269.816772,65584900
2018-11-09,279.029999,279.239990,276.179993,277.760010,267.181183,98812600
2018-11-12,277.190002,277.459991,271.989990,272.570007,262.188843,99673600
2018-11-13,273.089996,275.329987,271.250000,272.059998,261.698303,98176600
2018-11-14,274.160004,274.609985,268.450012,270.200012,259.909149,125335900
2018-11-15,268.779999,273.540009,267.010010,273.019989,262.621704,135101400
2018-11-16,271.790009,274.750000,271.209991,273.730011,263.304688,126668000
2018-11-19,273.049988,273.380005,268.070007,269.100006,258.851013,103061700
2018-11-20,265.359985,267.000000,263.149994,264.119995,254.060669,136021300
2018-11-21,265.859985,267.149994,265.010010,265.019989,254.926392,75563700
2018-11-23,263.179993,264.820007,263.070007,263.250000,253.223801,42807900
2018-11-26,265.779999,267.750000,265.339996,267.500000,257.311951,79981400
2018-11-27,266.339996,268.399994,265.660004,268.399994,258.177643,75502400
2018-11-28,269.600006,274.579987,268.329987,274.579987,264.122284,127629600
2018-11-29,273.709991,275.549988,272.429993,273.980011,263.545166,82346400
2018-11-30,273.809998,276.279999,273.450012,275.649994,265.151550,98204200
2018-12-03,280.279999,280.399994,277.510010,279.299988,268.662476,103176300
2018-12-04,278.369995,278.850006,269.899994,270.250000,259.957214,177986000
2018-12-06,265.920013,269.970001,262.440002,269.839996,259.562805,204185400
2018-12-07,269.459991,271.220001,262.630005,263.570007,253.531631,161018900
2018-12-10,263.369995,265.160004,258.619995,264.070007,254.012589,151445900
2018-12-11,267.660004,267.869995,262.480011,264.130005,254.070282,121504400
2018-12-12,267.470001,269.000000,265.369995,265.459991,255.349640,97976700
2018-12-13,266.519989,267.489990,264.119995,265.369995,255.263092,96662700
2018-12-14,262.959991,264.029999,259.850006,260.470001,250.549713,116961100
2018-12-17,259.399994,260.649994,253.529999,255.360001,245.634323,165492300
2018-12-18,257.200012,257.950012,253.279999,255.080002,245.364975,134515100
2018-12-19,255.169998,259.399994,249.350006,251.259995,241.690460,214992800
