text,retweet_count,favorite_count,is_retweet,date,score
RT WhiteHouse We must strictly and fully enforce our law and have no tolerance for anarchy and no toleranceZEROfor violence Anyone,11759,0,0,2020-09-01,10.43349
Too bad We will miss you Kamala ,20800,115474,0,2019-12-04,10.935831
The Democrats policy of Child Seperation on the Border during the Obama Administration was far worse than the way we handle it now Remember the 2014 picture of children in cages  the Obama years However if you dont separate FAR more people will come Smugglers use the kids,24535,93723,0,2018-12-16,9.779493
ever Had to rebuild our military which was totally depleted Fed Rate UP taxes and regulations WAY DOWN If Dems won in 2016 the USA would be in big economic Depression amp military trouble right now THE BEST IS YET TO COME KEEP AMERICA GREAT,24905,110519,0,2020-02-18,9.403887
RT realDonaldTrump Thank you Minnesota  I love you,17892,0,1,2018-10-06,10.037279
IG report on Andrew McCabe Misled Investigators over roll in news media disclosureLacked Candor Lied on four separate occasionsAuthotized Media Leaks to advance personal interestsIG RECOMMENDED MCCABES FIRING FoxNews IngrahamAngle,23018,81834,0,2020-02-15,9.991692
I hate to be promoting ATampT but OANN is Great News not Fake News Everybody should be carrying them ,17263,60169,0,2020-05-02,9.660096
Just landed in Panama City Beach Florida for a rally beginning at 800 PM Eastern Will be live on FoxNews MAGA tuckercarlson seanhannity,9623,48963,0,2019-05-09,10.151596
I ask every member of the Maduro regime End this nightmare of poverty hunger and death LET YOUR PEOPLE GO Set your country free Now is the time for all Venezuelan Patriots to act together as one united people Nothing could be better for the future of Venezuela,41413,148611,0,2019-02-19,10.449718
Today it was my great honor to sign the FirstStepAct  a monumental bipartisan win for the American people ,13670,58726,0,2018-12-22,9.935689
Dowd never understood the pulse of the Republican Party present or past Hes just a 3rd rate hit job for Fake News ABC ,9322,34526,0,2019-11-17,9.279072
RT JimJordan RepAndyBiggsAZ is right For months Democrats claimed there wasn't even a crisis on the borderThey sure have changed,9843,0,0,2019-07-13,10.532995
Nothing changes from the Mueller Report There was insufficient evidence and therefore in our Country a person is innocent The case is closed Thank you,38238,161246,0,2019-05-29,10.319808
RT elonmusk 5 mins to T0,56883,0,0,2020-06-02,9.404447
RT ScottAdamsSays This kill shot is so perfectly executed it is painful to watch    and still funny ,3992,0,0,2020-05-02,10.841043
RT TheRightMelissa Democrats now trying to distance themselves from BidenRiots but its not gonna work Antifa amp BLM are your supporters,13754,0,0,2020-08-30,10.085983
Making great progress in Davos Tremendous numbers of companies will be coming or returning to the USA Hottest Economy JOBS JOBS JOBS,18606,90134,0,2020-01-22,9.834457
It is the assessment of the US government that Iran is responsible for today's attacks in the Gulf of OmanStateDept SecPompeo ,17256,48294,0,2019-06-14,10.5730095
In our Country so much money has been poured down the drain for so many years but when it comes to Border Security and the Military the Democrats fight to the death We won on the Military which is being completely rebuilt One way or the other we will win on the Wall,25288,109676,0,2018-12-19,10.798328
RT LouDobbs Protecting Liberty JimJordan says we have the opportunity to make fundamental changes and defend basic freedoms by holding,5721,0,0,2020-02-26,10.816581
RT IngrahamAngle Excellent decision by realDonaldTrump No other president has had the guts to take on the China challenge  AmericaNow,14020,0,0,2019-05-05,10.545519
RT HolcombForIN Governor Holcomb is working hard alongside IvankaTrump Commerce SecretaryRoss amp America's top CEOs to scale Indiana's,4114,0,0,2019-06-24,9.643259
RT WhiteHouse Thanks to our major advances in treatment we've seen vast improvements in recovery rates across all age groups   The,5594,0,0,2020-08-05,9.375359
RT charliekirk11 RT if President Trump should withhold federal funds to states that try to STEAL our elections with voter fraud,36992,0,0,2020-05-21,11.011106
Impeachment is a terrible idea for the Country The more people learn about impeachment the less people want impeachment TuckerCarlson,13766,65442,0,2019-12-18,10.826294
Shifty Adam Schiff wants to rest his entire case on a Whistleblower who he now says cant testify amp the reason he cant testify is that he is afraid to do so because his account of the Presidential telephone call is a fraud amp totally different from the actual transcribed call,20793,85648,0,2019-10-16,10.641897
RT realDonaldTrump Great Republican Geary Higgins has my complete and total Endorsement for Virginia Senate 13th District He is strong,14932,0,0,2019-11-05,9.951519
MAKE AMERICA GREAT AGAIN,72878,473885,0,2020-06-13,11.06742
Look so forward to being with my great friends in INDIA ,47533,190639,0,2020-02-22,10.957514
RT LindseyGrahamSC Great job tonight by President realDonaldTrump in Las Vegas laying out how strong America has become economically and,13471,0,1,2018-09-22,10.62683
RT SenatorRisch Attention Idaho small business owners If your business has been disrupted or impacted by coronavirus fill out a form w,2797,0,0,2020-03-20,10.642896
RT TeamTrump White House Press Secretary KayleighMcEnany President realDonaldTrump has a great record when it comes to the LGBT commun,7248,0,0,2020-07-14,10.580769
RT AndrewPollackFL The California Supreme Court is the only piece of government in the state that has any common sense leftPresident T,12140,0,1,2019-11-24,10.547818
RT esaagar 58 of Americans support sending the military in to supplement police force to quell riotsCompare that to the twitter discou,5556,0,0,2020-06-03,10.688446
RT JackPosobiec 1000 Trump Supporters Camping Out in Wildwood ,5884,0,0,2020-01-28,10.3232
I will be interviewed by SeanHannity tonight at 900 PM Eastern on FoxNews Enjoy,19902,105910,0,2020-06-26,9.93221
Heading now to the Great State of Alabama,11418,74959,0,2019-03-08,11.187734
RT FLOTUS ,36673,0,0,2020-03-20,10.865119
Congress must demand the transcript of Michael Cohens new book given to publishers a short time ago Your heads will spin when you see the lies misrepresentations and contradictions  against his Thursday testimony Like a different person He is totally discredited,21177,84170,0,2019-03-01,9.885964
Congressman Adam Schiff who spent two years knowingly and unlawfully lying and leaking should be forced to resign from Congress,43138,182183,0,2019-03-28,9.920603
RT realDonaldTrump Sleepy Joe cannot bring us to greatness He is the reason Im here,27832,0,0,2020-05-23,10.304389
RT charliekirk11 Susan Rice is a proven liar and a disgrace to our country,20856,0,0,2020-06-20,10.74129
Big Night In Texas,14373,70859,0,2018-10-22,10.707347
Will be interviewed on seanhannity tonight at 900 PM Enjoy,15628,92226,0,2020-06-18,10.329769
When the Failing nytimes or Amazon washingtonpost writes a story saying unnamed sources said or any such phrase where a persons  name is not used dont believe them Most of these unnamed sources dont exist They are made up to defame amp disparage They have no source,31928,121112,0,2020-04-11,8.87093
RT WarRoomPandemic Dr Lee Vliet Dr Fauci has misled the American public on many issues but in particular on dismissing hydroxychlor,8117,0,0,2020-07-28,10.194373
RT WhiteHouse The American dream is back because President Trump understands what many experts don't that restoring American greatness i,14726,0,0,2019-03-22,10.166581
RT GOPChairwoman If 2020 Democrats actually cared about hardworking Americans they would not be touting a socialist agenda that threaten,6697,0,0,2020-01-15,11.026072
RT tashlutsa CLewandowski I was there and it was such an incredible experience I was lucky to get all th way to the front ,3631,0,0,2019-08-17,10.522116
RT senatemajldr Weve reached a simple contradiction The House case cannot be so robust that it was enough to rush into impeachment and,14588,0,0,2020-01-15,10.161747
Exciting to see our Country starting to open up again ,16055,71522,0,2020-05-05,11.369892
Chris JacobsNY27 is a Great Winner and Fighter for New York He will never let you down Strong on Crime Military our Vets Reducing Taxes Regulations and importantly our 2A Vote on June 23rd Chris has my Complete and Total Endorsement NY27 ,7597,28809,0,2020-06-12,10.715468
He had the Majority amp blew it away with his poor leadership and bad timing Never knew how to go after the Dems like they go after us Couldnt get him out of Congress fast enough,9178,44086,0,2019-07-12,9.634258
RT GreggJarrett Moreover if Sullivan discussed his thoughts about the case with private counsel hasnt he engaged in improper ex parte,12438,0,0,2020-05-27,11.1972885
RT ByronYork Voices on left concerned about rioters in Portland No longer arguing it's 'peaceful' worried about backfiring,6009,0,0,2020-07-27,9.957434
Good teamwork between Republicans amp Democrats as the House passes the big CoronaVirus Relief Bill People really pulled together Nice to see,21946,146459,0,2020-03-14,10.183214
Bernie Sanders volunteers are trashing Elizabeth Pocahontus Warren Everybody knows her campaign is dead and want her potential voters Mini Mike B is also trying but getting tiny crowds which are all leaving fast Elizabeth is very angry at Bernie Do I see a feud brewing,19773,109184,0,2020-01-13,10.457575
Remember this Andrew McCabe didnt go to the bathroom without the approval of Leakin James Comey,24202,103105,0,2019-02-19,10.909206
RT BorisEP My OpEd NewsweekDemocrats' Hypocrisy on Riots Reveals Political Nature of Coronavirus Lockdowns  Opinion ,8085,0,0,2020-06-13,9.388283
RT HuckabeeOnTBN What's the best gift to give your liberal friendsDonald Builds the Wall by EricMetaxasWhy Watch to find out ,6335,0,1,2019-12-24,10.021236
Conditions drug prices down for first time in 51 years amp soon will drop much further Right to Try protecting your 2nd Amendment big Tax amp Reg Cuts 32 GDP Strong Foreign Policy amp much much more that nobody else would have been able to do Our Country is doing GREAT,17894,84293,0,2019-05-19,9.470188
RT GOPChairwoman Comeys FBI sent undercover agents to spy on realDonaldTrumps campaignIts a stunning revelation of the lengths the,14982,0,0,2019-05-05,10.422721
RT FLOTUS For the first time in 29 years drug overdose deaths have dropped by 41 and life expectancy has increased by 4 years Proud o,17177,0,0,2020-02-01,10.76017
I agree wholeheartedly ,22430,101124,0,2018-10-24,10.734848
RT Surabees Fact Check Zero Pinocchios,4425,0,0,2020-02-09,10.121187
Congressman Neal Dunn DunnCampaign of Florida has done an outstanding job at everything having to do with MAGA Now working hard on hurricane relief and rebuild Strong on Crime strong on Borders loves our Military and our Vets Neal has my highest Endorsement,12253,47578,0,2018-10-18,9.722355
RT GovAbbott The USMCA is essential to the future of Texas America and our North American allies Congress must pass this agreement an,5497,0,0,2019-09-17,10.533451
RT Hoosiers1986 I believe that realDonaldTrump loves the United States of America more than any other President during my lifetime ,16800,0,0,2020-07-04,11.055542
